01 02 03 04 05 06
01 02 03 07 08 09
01 02 03 10 11 12
01 02 03 13 14 15
01 02 16 17 18 19
01 03 20 21 22 23
01 04 07 16 20 24
01 05 08 16 24 25
01 06 09 16 17 24
01 10 11 13 21 22
01 10 14 18 19 26
01 11 15 18 23 26
01 12 13 18 26 27
01 12 14 15 21 22
01 16 19 23 24 27
01 17 18 20 25 26
01 17 21 22 26 27
01 19 21 22 24 25
02 03 24 25 26 27
02 04 07 20 21 26
02 05 08 21 25 26
02 06 09 17 21 26
02 10 11 13 16 18
02 10 14 19 22 24
02 11 15 22 23 24
02 12 13 22 24 27
02 12 14 15 16 18
02 16 18 20 21 27
02 16 18 22 23 25
02 17 20 22 24 25
02 19 21 23 26 27
03 04 07 18 20 22
03 05 08 18 22 25
03 06 09 17 18 22
03 10 11 13 24 26
03 10 14 16 19 21
03 11 15 16 21 23
03 12 13 16 21 27
03 12 14 15 24 26
03 16 17 20 21 25
03 16 19 20 24 26
03 17 18 23 24 26
03 18 19 22 23 27
04 05 06 10 11 14
04 05 06 12 23 27
04 05 06 18 21 24
04 05 07 13 15 20
04 05 09 16 22 26
04 06 08 16 22 26
04 06 08 17 20 25
04 08 09 18 21 24
04 08 10 12 17 23
04 08 11 14 17 27
04 08 13 15 17 19
04 09 10 15 25 27
04 09 11 12 19 25
04 09 13 14 23 25
04 10 14 19 23 27
05 06 07 16 22 26
05 06 09 13 15 17
05 07 09 18 21 24
05 07 10 15 17 27
05 07 11 12 17 19
05 07 13 14 17 23
05 08 13 15 19 25
05 09 10 12 20 23
05 09 11 14 20 27
05 09 13 15 19 20
06 07 08 18 21 24
06 07 09 17 19 20
06 07 10 12 23 25
06 07 11 14 25 27
06 07 13 15 19 25
06 08 10 15 20 27
06 08 11 12 19 20
06 08 13 14 20 23
07 08 09 10 12 14
07 08 09 11 23 27
07 08 09 16 22 26
10 11 17 20 23 25
10 12 15 18 21 24
10 13 15 16 22 26
11 12 13 15 19 23
11 12 14 16 22 26
11 13 14 18 21 24
12 14 17 20 25 27
28 29 30 31 32 33
28 29 34 35 36 37
28 29 38 39 40 41
28 29 42 43 44 45
28 29 46 47 48 49
28 30 34 38 42 46
28 30 35 39 43 47
28 30 36 40 44 48
28 30 37 41 45 49
28 31 34 39 44 49
28 31 35 38 45 48
28 31 36 41 42 47
28 31 37 40 43 46
28 32 34 40 45 47
28 32 35 41 44 46
28 32 36 38 43 49
28 32 37 39 42 48
28 33 34 41 43 48
28 33 35 40 42 49
28 33 36 39 45 46
28 33 37 38 44 47
29 30 34 39 45 48
29 30 35 38 44 49
29 30 36 41 43 46
29 30 37 40 42 47
29 31 34 38 43 47
29 31 35 39 42 46
29 31 36 40 45 49
29 31 37 41 44 48
29 32 34 41 42 49
29 32 35 40 43 48
29 32 36 39 44 47
29 32 37 38 45 46
29 33 34 40 44 46
29 33 35 41 45 47
29 33 36 38 42 48
29 33 37 39 43 49
30 31 34 35 40 41
30 31 36 37 38 39
30 31 42 43 48 49
30 31 44 45 46 47
30 32 34 37 43 44
30 32 35 36 42 45
30 32 38 41 47 48
30 32 39 40 46 49
30 33 34 36 47 49
30 33 35 37 46 48
30 33 38 40 43 45
30 33 39 41 42 44
31 32 34 36 46 48
31 32 35 37 47 49
31 32 38 40 42 44
31 32 39 41 43 45
31 33 34 37 42 45
31 33 35 36 43 44
31 33 38 41 46 49
31 33 39 40 47 48
32 33 34 35 38 39
32 33 36 37 40 41
32 33 42 43 46 47
32 33 44 45 48 49
34 35 42 44 47 48
34 35 43 45 46 49
34 36 38 41 44 45
34 36 39 40 42 43
34 37 38 40 48 49
34 37 39 41 46 47
35 36 38 40 46 47
35 36 39 41 48 49
35 37 38 41 42 43
35 37 39 40 44 45
36 37 42 44 46 49
36 37 43 45 47 48
38 39 42 45 47 49
38 39 43 44 46 48
40 41 42 45 46 48
40 41 43 44 47 49
